uuid,name,description,class,datatype,shortname,reference-term-source,reference-term-code,reference-term-relationship,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,answer.7,answer.8,answer.9,answer.10,answer.11,answer.12,answer.13,answer.14,answer.15,answer.16
,"ANC-Gravida",,Misc,Numeric,Gravida,,,,,,,,,,,,,,,,,,,
,"ANC-Parity",,Misc,Numeric,Parity,,,,,,,,,,,,,,,,,,,
,"ANC-Last menstrual period",,Misc,Date,Last menstrual period,,,,,,,,,,,,,,,,,,,
,"ANC-Expected delivery date",,Computed,Date,Expected delivery date,,,,,,,,,,,,,,,,,,,
,"ANC-First td Date",,Misc,Date,1st TD Date,,,,,,,,,,,,,,,,,,,
,"ANC-Second td Date",,Misc,Date,2nd TD Date,,,,,,,,,,,,,,,,,,,
,"ANC, Third TD Date",,Misc,Date,3rd TD Date,,,,,,,,,,,,,,,,,,,
,"ANC-HIV counseling",,Misc,Boolean,HIV counseling,,,,,,,,,,,,,,,,,,,
,"ANC-HIV testing",,Misc,Boolean,HIV test,,,,,,,,,,,,,,,,,,,
,"ANC-HIV test date",,Misc,Date,HIV test date,,,,,,,,,,,,,,,,,,,
,"ANC-HIV result received",,Misc,Boolean,HIV test result received,,,,,,,,,,,,,,,,,,,
,"ANC-HIV test result",,Misc,Coded,HIV Result,,,,Positive,Negative,,,,,,,,,,,,,,
,"ANC-Syphilis counseling",,Misc,Boolean,Syphilis counseling,,,,,,,,,,,,,,,,,,,
,"ANC-Partner hiv status",,Misc,Coded,Partner HIV status,,,,Positive,Negative,Unknown,,,,,,,,,,,,,
,"ANC-Partner referred",,Misc,Boolean,Partner referred,,,,,,,,,,,,,,,,,,,
,"ANC-Syphilis tested",,Misc,Boolean,Syphilis tested,,,,,,,,,,,,,,,,,,,
,"ANC-Second result",,Misc,Coded,Syphilis result,,,,Positive,Negative,,,,,,,,,,,,,,
,"ANC-Syphilis tereated",,Misc,Boolean,Syphilis treated,,,,,,,,,,,,,,,,,,,
,"ANC-ART started",,Misc,Boolean,ART Started,,,,,,,,,,,,,,,,,,,
,"ANC-ART start date",,Misc,Date,ART start date,,,,,,,,,,,,,,,,,,,
,"ANC-Blood transfusion provided",,Misc,Boolean,Blood transfusion provided,,,,,,,,,,,,,,,,,,,
,"ANC, Blood Transfusion Date",,Misc,Date,Blood transfusion date,,,,,,,,,,,,,,,,,,,
,"ANC-Blood transfusion quantity",,Misc,Numeric,Blood transfusion quantity,,,,,,,,,,,,,,,,,,,
