uuid,name,description,class,shortname,datatype,units,High Normal,Low Normal,synonym.1,synonym.2,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,answer.7,answer.8,answer.9,answer.10,answer.11,answer.12,reference-term-source,reference-term-code,reference-term-relationship,reference-term-source,reference-term-code,reference-term-relationship
,"ER-Chief complaint",,Misc,Chief Complaint,Text,,,,,,,,,,,,,,,,,,,,,,,
,"ER General note, Location",,Misc,Location,Text,,,,,,,,,,,,,,,,,,,,,,,
,"ER General note, Quality",,Misc,Quality,Coded,,,,,,Sharp,Burning,Radiating,Crampy,Tingling,Pressure,,,,,,,,,,,,
,"ER General note, Severity",,Misc,Severity,Numeric,,,,,,,,,,,,,,,,,,,,,,,
,"ER General note, Duration",When did it Start,Misc,Duration,Text,,,,,,,,,,,,,,,,,,,,,,,
,"ER General note, Timing","Constant / Intermittent, how long dies it last",Misc,Timing,Text,,,,,,,,,,,,,,,,,,,,,,,
,"ER General note, Context",What were you doing when it started,Misc,Context,Text,,,,,,,,,,,,,,,,,,,,,,,
,"ER General note, Modifying Factors",Anything make it better or worse,Misc,Modifying Factors,Text,,,,,,,,,,,,,,,,,,,,,,,
,"ER General note, Associated Signs or Symptoms",,Misc,Associated signs or symptoms,Text,,,,,,,,,,,,,,,,,,,,,,,
,"ER-Constitutional",,Misc,Constitutional,Coded,,,,,,Weight loss,Night sweats,Fatigue,Fever,Chills,,,,,,,,,,,,,
,"ER-Eyes",,Misc,Eyes,Coded,,,,,,Visual changes,Eye pain,Floaters,,,,,,,,,,,,,,,
,"ER-ENT",,Misc,ENT,Coded,,,,,,Congestion,Epistaxis,Tinnitus,Sore throat,,,,,,,,,,,,,,
,"ER-CV",,Misc,CV,Coded,,,,,,Chest pain,Shortness of breath,Reduced exercise tolerance,PND,Orthopnea,Edema,Palpitations,,,,,,,,,,,
,"ER-Respair",,Misc,Respair,Coded,,,,,,Cough,Sputum,Wheeze,Hemoptysis,SOB,,,,,,,,,,,,,
,"ER-GI",,Misc,GI,Coded,,,,,,Abdominal pain,Trouble swallowing,Indigestion,Bloating,Cramping,NVDC,BRBPR,Melena,Tenesmus,,,,,,,,,
,"ER-Urinary",,Misc,Urinary,Coded,,,,,,Dysuria,Incontinence,Nocturia,Polyuria,Decreased stream,,,,,,,,,,,,,
,"ER-Genital",,Misc,Genital,Coded,,,,,,Vaginal or penile discharge,Ulcers,,,,,,,,,,,,,,,,
,"ER-Date of lmp",,Misc,Date of LMP,Date,,,,,,,,,,,,,,,,,,,,,,,
,"ER General note, Frequency",,Misc,Frequency,Boolean,,,,,,,,,,,,,,,,,,,,,,,
,"ER General note, Regularity",,Misc,Regularity,Boolean,,,,,,,,,,,,,,,,,,,,,,,
,"ER-Heavy or light",,Misc,Heavy / Light,Coded,,,,,,Heavy,Light,,,,,,,,,,,,,,,,
,"ER-Contraception",,Misc,Contraception,Boolean,,,,,,,,,,,,,,,,,,,,,,,
