uuid,name,description,class,datatype,shortname,synonym.1,synonym.2,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,answer.7,answer.8,reference-term-source,reference-term-code,reference-term-relationship
,"Kalaazar-Patient name",,Misc,Text,Parents name,,,,,,,,,,,,,
,"Kalaazar-Contact number",,Misc,Numeric,Contact number,,,,,,,,,,,,,
,"Kalaazar-Receptivity",,Misc,Coded,Receptivity,,,High risk,Medium risk,Low risk,Normal,,,,,,,
,"Kalaazar-Source",,Misc,Coded,Source,,,ACD-Active case detection,PCD-Passive case detection,,,,,,,,,
,"Kalaazar-Pregnant",,Misc,Boolean,Pregnant,,,,,,,,,,,,,
,"Kalaazar, KATF (Kala-azar Treatment Failure Case)",,Misc,Boolean,KATF ( Kala-azar treatment failure case),,,,,,,,,,,,,
,"Kalaazar-Classification",,Misc,Coded,Classification,,,Indigenous,Imported,,,,,,,,,
,"Kalaazar-Treatment start date",,Misc,Date,Treatment start date,,,,,,,,,,,,,
,"Kalaazar-Drug regimen",,Misc,Text,Drug regimen,,,,,,,,,,,,,
,"Kalaazar-Kalaazar patients follow up test ordered",,Misc,Coded,Kalaazar Patients Follow Up Test Ordered,,,Positive,Negative,,,,,,,,,
,"Kalaazar-Death date",,Misc,Date,Death Date,,,,,,,,,,,,,
,"Kalaazar-Remarks",,Misc,Text,Remarks,,,,,,,,,,,,,
