uuid,name,description,class,datatype,shortname,reference-term-code,reference-term-relationship,reference-term-source,synonym.1,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,answer.7,answer.8
,"Operative note, Reason for Surgery",,Misc,Text,Reason for surgery,,,,,,,,,,,,
,"Operative note-Surgeons",,Misc,Text,Surgeons,,,,,,,,,,,,
,"Operative note-Anesthetist",,Misc,Text,Anesthetist,,,,,,,,,,,,
,"Operative note-Procedure",,Misc,Coded,Procedure,,,,,Suturing,Wound care,Fracture management,,,,,
,"Operative note-Specific intervention",,Misc,Text,Specific intervention,,,,,,,,,,,,
,"Operative note-Anesthesia",,Misc,Text,Anesthesia,,,,,,,,,,,,
,"Operative note-Fluid administered",,Misc,Text,Fluid administered,,,,,,,,,,,,
,"Operative note, Fluid Amount",,Misc,Numeric,Fluid amount,,,,,,,,,,,,
,"Operative note, Fluid Unit",,Misc,Text,Fluid unit,,,,,,,,,,,,
,"Operative note-Estimated blood loss in CC",,Misc,Numeric,Estimated blood loss (in cc),,,,,,,,,,,,
,"Operative note-Findings",,Misc,Text,Findings,,,,,,,,,,,,
,"Operative note-Intra OP investigations ordered",,Misc,Text,Intra-OP investigations ordered,,,,,,,,,,,,
,"Operative note-Specimens","(type sent to pathology (gallbladder and cystic duct, etc.).<br>
DRAINS (T-tube in RUQ, etc.)<br>",Misc,Text,Specimens,,,,,,,,,,,,
,"Operative Note-Complications",,Misc,Text,Complications,,,,,,,,,,,,
,"Operative Note-Condition",,Misc,Coded,Condition,,,,,Stable,Extubated,Transferred to recovery room,,,,,
,"Operative note, Post OP Infection",,Misc,Boolean,Post OP infection,,,,,,,,,,,,
